Date,Forecast
2018-08-04,33329.14173018509
2018-08-05,32663.528217366314
2018-08-06,35285.270078077374
2018-08-07,36054.31957314563
2018-08-08,35955.710465190234
2018-08-09,35802.95037540055
2018-08-10,35486.00133114333
2018-08-11,33329.14173018509
2018-08-12,32663.528217366314
2018-08-13,35285.270078077374
2018-08-14,36054.31957314563
2018-08-15,35955.710465190234
2018-08-16,35802.95037540055
2018-08-17,35486.00133114333
2018-08-18,33329.14173018509
2018-08-19,32663.528217366314
2018-08-20,35285.270078077374
2018-08-21,36054.31957314563
2018-08-22,35955.710465190234
2018-08-23,35802.95037540055
2018-08-24,35486.00133114333
2018-08-25,33329.14173018509
2018-08-26,32663.528217366314
2018-08-27,35285.270078077374
2018-08-28,36054.31957314563
2018-08-29,35955.710465190234
2018-08-30,35802.95037540055
2018-08-31,35486.00133114333
2018-09-01,33329.14173018509
2018-09-02,32663.528217366314
