Date,Actual,ARIMA_Fitted,ETS_Fitted
2017-08-04,38160.75,34944.21089111711,33750.32130399941
2017-08-05,31649.291666666668,36484.082132893476,36144.37528153474
2017-08-06,27709.875,29946.00406782615,31001.0331484148
2017-08-07,30521.166666666668,28982.811196515304,30030.71451149093
2017-08-08,31562.25,31856.847952338816,31232.799862548534
2017-08-09,32847.583333333336,31633.990813593973,31628.41585626827
2017-08-10,33719,34088.41533818146,32673.624404235576
2017-08-11,33675.416666666664,33615.34190102335,33459.42512907217
2017-08-12,31822.666666666668,31808.38688510448,31658.570350770635
2017-08-13,31777.541666666668,30776.957524937607,31174.060780814412
2017-08-14,33076.166666666664,32798.10573333074,34098.36909766982
2017-08-15,33755.833333333336,33190.42090183383,33787.93568901659
2017-08-16,36819.791666666664,34133.085849496914,33822.12472956804
2017-08-17,37475.791666666664,37352.82158357571,36645.63663129052
2017-08-18,38931.75,36270.560801806496,37216.15525195754
2017-08-19,36170.291666666664,36658.847475866074,36914.74782066127
2017-08-20,32394.708333333332,33706.52518038013,35521.82111890774
2017-08-21,36980,32510.40025430902,34715.74754863513
2017-08-22,41278.5,37843.16385042043,37691.5381261612
2017-08-23,37422.083333333336,40591.5987228852,41344.731611139396
2017-08-24,32557.583333333332,35317.82711155357,37248.40621027098
2017-08-25,31121.583333333332,32738.23505306211,32298.5903783132
2017-08-26,28169.625,30300.890569871124,29104.625082376846
2017-08-27,26612.333333333332,27601.77000519034,27520.93467540591
2017-08-28,29118.041666666668,29127.366930478544,28933.690280207284
2017-08-29,28715.75,31275.57095312002,29829.921387144903
2017-08-30,29246.166666666668,28893.231252320707,28781.700893236088
2017-08-31,31708.375,29879.921717472494,29071.971757802938
2017-09-01,27280.5,32543.420960869407,31448.998251983005
2017-09-02,24201.458333333332,25196.296736152406,25263.86656042427
2017-09-03,24385.625,25140.796723965093,23552.78345609577
2017-09-04,26552.416666666668,27150.96377360725,26706.916585922314
2017-09-05,33275.541666666664,28396.473326352636,27264.20022136761
2017-09-06,29903,34283.4294017061,33340.93498291674
2017-09-07,27888.541666666668,27715.39147516036,29729.4149414078
2017-09-08,27053.208333333332,28080.171484149312,27628.932375098077
2017-09-09,24248.208333333332,26054.834826494895,25036.525402960317
2017-09-10,23775.916666666668,24256.320327298905,23599.69596468713
2017-09-11,26980.125,26125.070585746824,26097.175215559168
2017-09-12,28223.416666666668,29289.138588216112,27692.42260357193
2017-09-13,29799.041666666668,27711.25594309078,28288.413050434425
2017-09-14,32033.875,30982.57081109623,29625.119588755868
2017-09-15,32497.375,30551.24593680808,31773.965626143825
2017-09-16,31042.375,30913.64173697044,30480.54023273541
2017-09-17,30158.916666666668,30163.586935415013,30393.82370522076
2017-09-18,31864.958333333332,30829.370756675387,32480.28738708427
2017-09-19,32474.458333333332,33424.284053204516,32577.371171276212
2017-09-20,33789.916666666664,31213.95711965454,32539.616635940067
2017-09-21,34080.958333333336,34108.272970998405,33616.11080238066
2017-09-22,32378.833333333332,32881.39448400137,33821.07525930963
2017-09-23,30600.666666666668,30834.65539752887,30362.199939319584
2017-09-24,32246.708333333332,30141.232735140773,29952.06796647992
2017-09-25,36759.666666666664,33345.014378312844,34567.78677265698
2017-09-26,35370.916666666664,36589.276911855144,37471.848856924844
2017-09-27,36978.583333333336,34228.06961300823,35436.41139595608
2017-09-28,32518.208333333332,37508.44075426358,36804.66938475696
2017-09-29,27007.708333333332,30077.11173690187,32258.61137320811
2017-09-30,23852.791666666668,26931.89277899285,24991.626114107483
2017-10-01,23138.458333333332,25059.247207384527,23204.537521024344
2017-10-02,26331.791666666668,25925.801296987345,25459.763641271544
2017-10-03,26807.291666666668,28046.61102868481,27043.6759973481
2017-10-04,27412.041666666668,28320.76963951852,26872.964382666734
2017-10-05,29201.625,27659.62990629717,27237.64403114864
2017-10-06,30566.208333333332,28897.949768662547,28941.30337166004
2017-10-07,29155.208333333332,29702.506980841907,28549.847663036457
2017-10-08,30690.5,29047.023552914732,28506.88652493832
2017-10-09,34175.541666666664,32889.96195914461,33011.673357902866
2017-10-10,33866.083333333336,33461.97359207575,34887.28553154431
2017-10-11,30504.5,33673.16600096802,33931.91265627451
2017-10-12,27698.916666666668,29102.321791186176,30330.64374499979
2017-10-13,26465.458333333332,27406.275222427877,27439.022751625773
2017-10-14,24949.583333333332,26009.251692578975,24449.256487321392
2017-10-15,25363.25,25754.448674712876,24301.430336070567
2017-10-16,26602.291666666668,27839.398615518072,27684.433805834826
2017-10-17,26344.375,27221.09801595556,27314.04207281786
2017-10-18,26778.541666666668,26584.85784104395,26409.957863454136
2017-10-19,26560.5,27515.8892902301,26604.383828845257
2017-10-20,26200.291666666668,26985.424830294673,26300.51236548396
2017-10-21,24037.75,26265.172775710886,24184.149872944185
