Date,Actual,ARIMA_Forecast,ETS_Forecast
2018-07-05,42402.375,38341.83562455145,39479.615720408125
2018-07-06,39145.25,37064.50704875507,39220.16902456176
2018-07-07,28926.5,35102.92034814944,37203.331935303155
2018-07-08,28616.791666666668,35811.76738155257,36554.64552959977
2018-07-09,34410.166666666664,36838.99374004846,38876.107027474274
2018-07-10,38866.125,36043.30446704997,39587.010361070665
2018-07-11,39699.583333333336,34359.35178901989,39652.79275386556
2018-07-12,36770.458333333336,35125.13771832985,39479.615720408125
2018-07-13,36047.166666666664,35098.77231958099,39220.16902456176
2018-07-14,34942.666666666664,34390.00712958403,37203.331935303155
2018-07-15,34204.083333333336,34917.3615373777,36554.64552959977
2018-07-16,41897.083333333336,36117.008292681945,38876.107027474274
2018-07-17,41080.875,35867.98094083846,39587.010361070665
2018-07-18,36402.458333333336,34126.16287567878,39652.79275386556
2018-07-19,34624.541666666664,33932.53595085457,39479.615720408125
2018-07-20,34887.708333333336,33585.48726858465,39220.16902456176
2018-07-21,29329.75,32939.48760669684,37203.331935303155
2018-07-22,31062.25,33192.27589033042,36554.64552959977
2018-07-23,37556.375,33670.65597019654,38876.107027474274
2018-07-24,38382.875,33413.58707088205,39587.010361070665
2018-07-25,37062.166666666664,32628.929552453672,39652.79275386556
2018-07-26,38221.166666666664,32754.89021452984,39479.615720408125
2018-07-27,38191.5,32664.79344677989,39220.16902456176
2018-07-28,34495.75,32352.274722849088,37203.331935303155
2018-07-29,32162.916666666668,32524.74522908654,36554.64552959977
2018-07-30,32957.416666666664,32904.26908813646,38876.107027474274
2018-07-31,34539.083333333336,32786.87896870687,39587.010361070665
2018-08-01,39230.791666666664,32207.15613749468,39652.79275386556
2018-08-02,39593.041666666664,32187.031117825096,39479.615720408125
2018-08-03,35486,32084.67908578994,39220.16902456176
