Date,PJME_MW
2017-08-04,38160.75
2017-08-05,31649.291666666668
2017-08-06,27709.875
2017-08-07,30521.166666666668
2017-08-08,31562.25
2017-08-09,32847.583333333336
2017-08-10,33719
2017-08-11,33675.416666666664
2017-08-12,31822.666666666668
2017-08-13,31777.541666666668
2017-08-14,33076.166666666664
2017-08-15,33755.833333333336
2017-08-16,36819.791666666664
2017-08-17,37475.791666666664
2017-08-18,38931.75
2017-08-19,36170.291666666664
2017-08-20,32394.708333333332
2017-08-21,36980
2017-08-22,41278.5
2017-08-23,37422.083333333336
2017-08-24,32557.583333333332
2017-08-25,31121.583333333332
2017-08-26,28169.625
2017-08-27,26612.333333333332
2017-08-28,29118.041666666668
2017-08-29,28715.75
2017-08-30,29246.166666666668
2017-08-31,31708.375
2017-09-01,27280.5
2017-09-02,24201.458333333332
2017-09-03,24385.625
2017-09-04,26552.416666666668
2017-09-05,33275.541666666664
2017-09-06,29903
2017-09-07,27888.541666666668
2017-09-08,27053.208333333332
2017-09-09,24248.208333333332
2017-09-10,23775.916666666668
2017-09-11,26980.125
2017-09-12,28223.416666666668
2017-09-13,29799.041666666668
2017-09-14,32033.875
2017-09-15,32497.375
2017-09-16,31042.375
2017-09-17,30158.916666666668
2017-09-18,31864.958333333332
2017-09-19,32474.458333333332
2017-09-20,33789.916666666664
2017-09-21,34080.958333333336
2017-09-22,32378.833333333332
2017-09-23,30600.666666666668
2017-09-24,32246.708333333332
2017-09-25,36759.666666666664
2017-09-26,35370.916666666664
2017-09-27,36978.583333333336
2017-09-28,32518.208333333332
2017-09-29,27007.708333333332
2017-09-30,23852.791666666668
2017-10-01,23138.458333333332
2017-10-02,26331.791666666668
2017-10-03,26807.291666666668
2017-10-04,27412.041666666668
2017-10-05,29201.625
2017-10-06,30566.208333333332
2017-10-07,29155.208333333332
2017-10-08,30690.5
2017-10-09,34175.541666666664
2017-10-10,33866.083333333336
2017-10-11,30504.5
2017-10-12,27698.916666666668
2017-10-13,26465.458333333332
2017-10-14,24949.583333333332
2017-10-15,25363.25
2017-10-16,26602.291666666668
2017-10-17,26344.375
2017-10-18,26778.541666666668
2017-10-19,26560.5
2017-10-20,26200.291666666668
2017-10-21,24037.75
2017-10-22,23570.958333333332
2017-10-23,27456.583333333332
2017-10-24,28657.416666666668
2017-10-25,26542.25
2017-10-26,26713.458333333332
2017-10-27,26743.25
2017-10-28,24224.625
